intersection	direction	sample_index	selected_video	output_image
红荔西路农轩20251230	东	5	/data3/VLA_LLM_DATA/红荔西路农轩20251230/东/00000000513000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/东/05__00000000513000000.jpg
红荔西路农轩20251230	北	1	/data3/VLA_LLM_DATA/红荔西路农轩20251230/北/00000000317000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/北/01__00000000317000000.jpg
红荔西路农轩20251230	北	2	/data3/VLA_LLM_DATA/红荔西路农轩20251230/北/00000000323000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/北/02__00000000323000000.jpg
红荔西路农轩20251230	北	3	/data3/VLA_LLM_DATA/红荔西路农轩20251230/北/00000000327000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/北/03__00000000327000000.jpg
红荔西路农轩20251230	北	4	/data3/VLA_LLM_DATA/红荔西路农轩20251230/北/00000000539000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/北/04__00000000539000000.jpg
红荔西路农轩20251230	北	5	/data3/VLA_LLM_DATA/红荔西路农轩20251230/北/00000000527000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/北/05__00000000527000000.jpg
红荔西路农轩20251230	南	1	/data3/VLA_LLM_DATA/红荔西路农轩20251230/南/00000000299000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/南/01__00000000299000000.jpg
红荔西路农轩20251230	南	2	/data3/VLA_LLM_DATA/红荔西路农轩20251230/南/00000000345000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/南/02__00000000345000000.jpg
红荔西路农轩20251230	南	3	/data3/VLA_LLM_DATA/红荔西路农轩20251230/南/00000000538000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/南/03__00000000538000000.jpg
红荔西路农轩20251230	南	4	/data3/VLA_LLM_DATA/红荔西路农轩20251230/南/00000000516000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/南/04__00000000516000000.jpg
红荔西路农轩20251230	南	5	/data3/VLA_LLM_DATA/红荔西路农轩20251230/南/00000000293000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/南/05__00000000293000000.jpg
红荔西路农轩20251230	西	1	/data3/VLA_LLM_DATA/红荔西路农轩20251230/西/00000000491000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/西/01__00000000491000000.jpg
红荔西路农轩20251230	西	2	/data3/VLA_LLM_DATA/红荔西路农轩20251230/西/00000000324000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/西/02__00000000324000000.jpg
红荔西路农轩20251230	西	3	/data3/VLA_LLM_DATA/红荔西路农轩20251230/西/00000000508000000.mp4	/home/wangzhe/VLM/images/random5_per_camera/红荔西路农轩20251230/西/03__00000000508000000.jpg
